DAY,MONTH,MONTH_ID,YEAR,CAUSE,GROSS INCURRED AMOUNT
 24 ,March,3,1999,ESCAPE OF WATER,£185
 24 ,March,3,1999,FIRE,£170
 24 ,March,3,1999,ACCIDENTAL DAMAGE,£280
 24 ,March,3,1999,FIRE,"£1,524"
 25 ,March,3,1999,ESCAPE OF WATER,£462
 25 ,March,3,1999,ACCIDENTAL DAMAGE,£198
 25 ,March,3,1999,ACCIDENTAL DAMAGE,"£1,259"
 25 ,March,3,1999,THEFT,£150
 26 ,March,3,1999,FIRE,"£5,082"
 26 ,March,3,1999,ESCAPE OF WATER,£415
 26 ,March,3,1999,THEFT,£218
 26 ,March,3,1999,THEFT,£92
 26 ,March,3,1999,ESCAPE OF WATER,£129
 26 ,March,3,1999,THEFT,"£1,543"
 26 ,March,3,1999,ACCIDENTAL DAMAGE,£204
 27 ,March,3,1999,ESCAPE OF WATER,"£1,351"
 27 ,March,3,1999,THEFT,"£1,845"
 27 ,March,3,1999,THEFT,£176
 27 ,March,3,1999,THEFT,"£1,622"
 27 ,March,3,1999,WINDSTORM,£0
 27 ,March,3,1999,ACCIDENTAL DAMAGE,£204
 27 ,March,3,1999,FIRE,£0
 28 ,March,3,1999,THEFT,£720
 28 ,March,3,1999,ACCIDENTAL DAMAGE,£35
 28 ,March,3,1999,THEFT,£38
 29 ,March,3,1999,THEFT,"£2,845"
 29 ,March,3,1999,THEFT,"£2,728"
 29 ,March,3,1999,ESCAPE OF WATER,£223
 29 ,March,3,1999,ESCAPE OF WATER,"£3,780"
 29 ,March,3,1999,FIRE,£186
 30 ,March,3,1999,THEFT,£320
 30 ,March,3,1999,THEFT,£280
 30 ,March,3,1999,ESCAPE OF WATER,£649
 31 ,March,3,1999,ACCIDENTAL DAMAGE,£101
 31 ,March,3,1999,FIRE,£632
 31 ,March,3,1999,FIRE,£415
 1 ,April,4,1999,WINDSTORM,£669
 1 ,April,4,1999,ESCAPE OF WATER,£860
 1 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 1 ,April,4,1999,ESCAPE OF WATER,£394
 1 ,April,4,1999,ACCIDENTAL DAMAGE,£100
 1 ,April,4,1999,FIRE,£331
 1 ,April,4,1999,THEFT,"£1,895"
 1 ,April,4,1999,ACCIDENTAL DAMAGE,£182
 1 ,April,4,1999,FIRE,£300
 1 ,April,4,1999,ESCAPE OF WATER,£127
 1 ,April,4,1999,WINDSTORM,"£1,181"
 1 ,April,4,1999,WINDSTORM,£229
 1 ,April,4,1999,ESCAPE OF WATER,£160
 1 ,April,4,1999,SUBSIDENCE     ,£0
 1 ,April,4,1999,ESCAPE OF WATER,£185
 1 ,April,4,1999,ACCIDENTAL DAMAGE,£814
 1 ,April,4,1999,FIRE,£0
 1 ,April,4,1999,THEFT,£349
 1 ,April,4,1999,ESCAPE OF WATER,£740
 1 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 1 ,April,4,1999,WINDSTORM,£0
 1 ,April,4,1999,WINDSTORM,£0
 1 ,April,4,1999,ESCAPE OF WATER,£208
 1 ,April,4,1999,SUBSIDENCE     ,"£1,238"
 1 ,April,4,1999,THEFT,£0
 1 ,April,4,1999,ACCIDENTAL DAMAGE,£488
 1 ,April,4,1999,ESCAPE OF WATER,"£1,995"
 1 ,April,4,1999,THEFT,"£5,157"
 2 ,April,4,1999,ACCIDENTAL DAMAGE,£188
 2 ,April,4,1999,ACCIDENTAL DAMAGE,£376
 2 ,April,4,1999,ACCIDENTAL DAMAGE,£165
 2 ,April,4,1999,WINDSTORM,£506
 2 ,April,4,1999,ACCIDENTAL DAMAGE,£735
 2 ,April,4,1999,ESCAPE OF WATER,£465
 3 ,April,4,1999,ESCAPE OF WATER,£70
 3 ,April,4,1999,THEFT,£943
 3 ,April,4,1999,ESCAPE OF WATER,£0
 3 ,April,4,1999,WINDSTORM,"£1,470"
 3 ,April,4,1999,ACCIDENTAL DAMAGE,£425
 3 ,April,4,1999,FIRE,£0
 4 ,April,4,1999,ESCAPE OF WATER,£295
 4 ,April,4,1999,WINDSTORM,£476
 4 ,April,4,1999,ACCIDENTAL DAMAGE,£171
 5 ,April,4,1999,THEFT,£859
 5 ,April,4,1999,ACCIDENTAL DAMAGE,£161
 5 ,April,4,1999,ACCIDENTAL DAMAGE,£149
 5 ,April,4,1999,ACCIDENTAL DAMAGE,£789
 6 ,April,4,1999,SUBSIDENCE     ,£141
 6 ,April,4,1999,THEFT,"£1,060"
 6 ,April,4,1999,WINDSTORM,£141
 7 ,April,4,1999,ESCAPE OF WATER,£100
 7 ,April,4,1999,ESCAPE OF WATER,£0
 8 ,April,4,1999,THEFT,£844
 8 ,April,4,1999,ACCIDENTAL DAMAGE,£657
 8 ,April,4,1999,ESCAPE OF WATER,£213
 8 ,April,4,1999,ACCIDENTAL DAMAGE,£664
 8 ,April,4,1999,THEFT,£22
 8 ,April,4,1999,THEFT,£103
 9 ,April,4,1999,ESCAPE OF WATER,£211
 9 ,April,4,1999,FIRE,£817
 9 ,April,4,1999,ACCIDENTAL DAMAGE,"£2,488"
 9 ,April,4,1999,THEFT,"£2,027"
 9 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 10 ,April,4,1999,THEFT,£76
 10 ,April,4,1999,ACCIDENTAL DAMAGE,£152
 10 ,April,4,1999,WINDSTORM,£0
 10 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 10 ,April,4,1999,WINDSTORM,£476
 10 ,April,4,1999,ESCAPE OF WATER,£145
 11 ,April,4,1999,ACCIDENTAL DAMAGE,£499
 11 ,April,4,1999,ACCIDENTAL DAMAGE,£70
 11 ,April,4,1999,ACCIDENTAL DAMAGE,£252
 11 ,April,4,1999,ESCAPE OF WATER,£730
 11 ,April,4,1999,WINDSTORM,£180
 11 ,April,4,1999,ACCIDENTAL DAMAGE,£125
 11 ,April,4,1999,ESCAPE OF WATER,"£1,250"
 12 ,April,4,1999,ESCAPE OF WATER,"£11,440"
 12 ,April,4,1999,WINDSTORM,£0
 12 ,April,4,1999,ESCAPE OF WATER,£525
 12 ,April,4,1999,THEFT,"£7,541"
 12 ,April,4,1999,WINDSTORM,£257
 12 ,April,4,1999,ACCIDENTAL DAMAGE,£90
 12 ,April,4,1999,WINDSTORM,£69
 12 ,April,4,1999,THEFT,£280
 12 ,April,4,1999,ESCAPE OF WATER,£454
 12 ,April,4,1999,ESCAPE OF WATER,"£1,469"
 12 ,April,4,1999,ESCAPE OF WATER,£420
 12 ,April,4,1999,SUBSIDENCE     ,"£6,410"
 13 ,April,4,1999,ESCAPE OF WATER,£950
 13 ,April,4,1999,WINDSTORM,£710
 13 ,April,4,1999,ACCIDENTAL DAMAGE,£296
 13 ,April,4,1999,WINDSTORM,£615
 13 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 13 ,April,4,1999,WINDSTORM,£454
 14 ,April,4,1999,FIRE,"£6,631"
 14 ,April,4,1999,WINDSTORM,£440
 14 ,April,4,1999,ESCAPE OF WATER,£625
 14 ,April,4,1999,ACCIDENTAL DAMAGE,£148
 14 ,April,4,1999,WINDSTORM,£930
 14 ,April,4,1999,ESCAPE OF WATER,"£1,098"
 14 ,April,4,1999,ACCIDENTAL DAMAGE,£93
 14 ,April,4,1999,WINDSTORM,£0
 15 ,April,4,1999,THEFT,£166
 15 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 15 ,April,4,1999,THEFT,£76
 15 ,April,4,1999,ESCAPE OF WATER,£65
 16 ,April,4,1999,FIRE,£325
 16 ,April,4,1999,WINDSTORM,£280
 16 ,April,4,1999,ACCIDENTAL DAMAGE,£291
 16 ,April,4,1999,WINDSTORM,£0
 17 ,April,4,1999,FIRE,£275
 18 ,April,4,1999,ACCIDENTAL DAMAGE,£249
 18 ,April,4,1999,WINDSTORM,£250
 18 ,April,4,1999,ESCAPE OF WATER,£131
